row_id,zip,week,week_start_date,week_end_date,absolute_week,tests,cases,deaths,population
60633-2021-25,60633.0,25,2021-06-20,2021-06-26,68.0,189.0,0.0,0.0,12871
60633-2021-27,60633.0,27,2021-07-04,2021-07-10,70.0,157.0,0.0,0.0,12871
60633-2021-28,60633.0,28,2021-07-11,2021-07-17,71.0,116.0,2.0,0.0,12871
60633-2021-29,60633.0,29,2021-07-18,2021-07-24,72.0,126.0,0.0,0.0,12871
60633-2021-3,60633.0,3,2021-01-17,2021-01-23,46.0,271.0,20.0,0.0,12871
60633-2021-30,60633.0,30,2021-07-25,2021-07-31,73.0,171.0,7.0,0.0,12871
60633-2021-31,60633.0,31,2021-08-01,2021-08-07,74.0,178.0,7.0,0.0,12871
60633-2021-32,60633.0,32,2021-08-08,2021-08-14,75.0,295.0,7.0,0.0,12871
60633-2021-33,60633.0,33,2021-08-15,2021-08-21,76.0,452.0,15.0,0.0,12871
60633-2021-34,60633.0,34,2021-08-22,2021-08-28,77.0,425.0,14.0,0.0,12871
60633-2021-35,60633.0,35,2021-08-29,2021-09-04,78.0,415.0,9.0,1.0,12871
60633-2021-36,60633.0,36,2021-09-05,2021-09-11,79.0,290.0,9.0,0.0,12871
60633-2021-37,60633.0,37,2021-09-12,2021-09-18,80.0,441.0,7.0,1.0,12871
60613-2021-41,60613.0,41,2021-10-10,2021-10-16,84.0,2554.0,29.0,0.0,50113
60636-2020-46,60636.0,46,2020-11-08,2020-11-14,36.0,1013.0,156.0,1.0,32203
60628-2020-22,60628.0,22,2020-05-24,2020-05-30,12.0,999.0,54.0,10.0,66724
60628-2020-23,60628.0,23,2020-05-31,2020-06-06,13.0,638.0,21.0,4.0,66724
60628-2020-53,60628.0,53,2020-12-27,2021-01-02,43.0,1379.0,125.0,5.0,66724
60633-2021-40,60633.0,40,2021-10-03,2021-10-09,83.0,598.0,29.0,0.0,12871
60633-2021-41,60633.0,41,2021-10-10,2021-10-16,84.0,579.0,10.0,1.0,12871
60633-2021-43,60633.0,43,2021-10-24,2021-10-30,86.0,589.0,7.0,0.0,12871
60633-2021-44,60633.0,44,2021-10-31,2021-11-06,87.0,626.0,16.0,1.0,12871
60633-2021-45,60633.0,45,2021-11-07,2021-11-13,88.0,514.0,19.0,0.0,12871
60633-2021-46,60633.0,46,2021-11-14,2021-11-20,89.0,558.0,21.0,0.0,12871
60633-2021-47,60633.0,47,2021-11-21,2021-11-27,90.0,410.0,25.0,0.0,12871
60633-2021-48,60633.0,48,2021-11-28,2021-12-04,91.0,621.0,27.0,1.0,12871
60633-2021-49,60633.0,49,2021-12-05,2021-12-11,92.0,697.0,43.0,0.0,12871
60633-2021-5,60633.0,5,2021-01-31,2021-02-06,48.0,229.0,13.0,0.0,12871
60633-2021-50,60633.0,50,2021-12-12,2021-12-18,93.0,785.0,76.0,1.0,12871
60636-2020-47,60636.0,47,2020-11-15,2020-11-21,37.0,1062.0,153.0,5.0,32203
60633-2021-52,60633.0,52,2021-12-26,2022-01-01,95.0,978.0,184.0,0.0,12871
60633-2021-6,60633.0,6,2021-02-07,2021-02-13,49.0,249.0,9.0,1.0,12871
60612-2020-21,60612.0,21,2020-05-17,2020-05-23,11.0,440.0,64.0,3.0,34311
60612-2020-36,60612.0,36,2020-08-30,2020-09-05,26.0,784.0,17.0,0.0,34311
60612-2020-44,60612.0,44,2020-10-25,2020-10-31,34.0,1404.0,104.0,0.0,34311
60612-2020-47,60612.0,47,2020-11-15,2020-11-21,37.0,2760.0,218.0,3.0,34311
60628-2021-1,60628.0,1,2021-01-03,2021-01-09,44.0,1678.0,133.0,2.0,66724
60628-2021-14,60628.0,14,2021-04-04,2021-04-10,57.0,1975.0,129.0,2.0,66724
60628-2021-15,60628.0,15,2021-04-11,2021-04-17,58.0,1849.0,123.0,0.0,66724
60628-2021-2,60628.0,2,2021-01-10,2021-01-16,45.0,1623.0,108.0,2.0,66724
60628-2021-20,60628.0,20,2021-05-16,2021-05-22,63.0,2207.0,69.0,0.0,66724
60628-2021-21,60628.0,21,2021-05-23,2021-05-29,64.0,1701.0,53.0,3.0,66724
60628-2021-22,60628.0,22,2021-05-30,2021-06-05,65.0,1441.0,20.0,1.0,66724
60628-2021-23,60628.0,23,2021-06-06,2021-06-12,66.0,1342.0,18.0,1.0,66724
60633-2021-7,60633.0,7,2021-02-14,2021-02-20,50.0,281.0,10.0,0.0,12871
60636-2020-48,60636.0,48,2020-11-22,2020-11-28,38.0,826.0,130.0,4.0,32203
